Venue, c1, c2, c3, c4, c5, c6, c7, c8
D1 LAB 402,S1,,,,,,,
D1 LAB 402,S2,,,,,,,
D1 LAB 402,T1, T2,,,,,,
D1 LAB 402,T4,,,,,,,
D1 LAB 403,C1,,,,,,,
D1 LAB 403,G2,,,,,,,
D1 LAB 403,H1,,,,,,,
D1 LAB 403,H3,,,,,,,
D1 LAB 403,I3,,,,,,,
D1 LAB 403,I4,,,,,,,
D1 LAB 403,J1, J2,,,,,,
D1 LAB 403,K1,,,,,,,
D1 LAB 403,K3,,,,,,,
D1 LAB 403,L1,,,,,,,
D1 LAB 403,M3,,,,,,,
D1 LAB 403,M4,,,,,,,
D1 LAB 403,O1,,,,,,,
D1 LAB 403,O2,,,,,,,
D1 LAB 403,O4,,,,,,,
D1 LAB 403,Q3,,,,,,,
D1 LAB 403,Q4,,,,,,,
D1 LAB 403,S1,,,,,,,
D1 LAB 403,S2,,,,,,,
D1 LAB 403,T3,,,,,,,
D1 LAB 403,Z1,,,,,,,
D1 LAB 403,Z4,,,,,,,
D1 LAB 404,H2,,,,,,,
D1 LAB 404,J1,,,,,,,
D1 LAB 404,J2,,,,,,,
D1 LAB 404,K3,,,,,,,
D1 LAB 404,O1,,,,,,,
D1 LAB 404,O2,,,,,,,
D1 LAB 404,S1,,,,,,,
D1 LAB 404,T4,,,,,,,
D1 LAB 404,Z4,,,,,,,
D1 LAB 405,C1,,,,,,,
D1 LAB 405,G2,,,,,,,
D1 LAB 405,H1,,,,,,,
D1 LAB 405,I2, R1,,,,,,
D1 LAB 405,J1,,,,,,,
D1 LAB 405,K1,,,,,,,
D1 LAB 405,K3,,,,,,,
D1 LAB 405,L1,,,,,,,
D1 LAB 405,L2,,,,,,,
D1 LAB 405,M3,,,,,,,
D1 LAB 405,M4,,,,,,,
D1 LAB 405,O2,,,,,,,
D1 LAB 405,S1,,,,,,,
D1 LAB 405,T2,,,,,,,
D1 LAB 405,Z4,,,,,,,
D1 LAB 406,G1,,,,,,,
D1 LAB 406,H2,,,,,,,
D1 LAB 406,K1,,,,,,,
D1 LAB 406,L2,,,,,,,
D1 LAB 406,M1,,,,,,,
D1 LAB 406,M4, I3,,,,,,
D1 LAB 406,N2,,,,,,,
D1 LAB 406,O2,,,,,,,
D1 LAB 406,Q1,,,,,,,
D1 LAB 406,Q2,,,,,,,
D1 LAB 406,Q3,,,,,,,
D1 LAB 406,R2,,,,,,,
D1 LAB 406,S1,,,,,,,
D1 LAB 406,T1,,,,,,,
D1 LAB 406,T2,,,,,,,
D1 LAB 406,T4,,,,,,,
D1 LAB 406,Z4,,,,,,,
D1 LAB 407,G1,,,,,,,
D1 LAB 407,H1,,,,,,,
D1 LAB 407,K1,,,,,,,
D1 LAB 407,M1,,,,,,,
D1 LAB 407,M3,,,,,,,
D1 LAB 407,M4, I3,,,,,,
D1 LAB 407,N1,,,,,,,
D1 LAB 407,N2,,,,,,,
D1 LAB 407,O2,,,,,,,
D1 LAB 407,Q4,,,,,,,
D1 LAB 407,S2,,,,,,,
D1 LAB 407,T1, T2,,,,,,
D1 LAB 408,G1,,,,,,,
D1 LAB 408,H4,,,,,,,
D1 LAB 408,I3,,,,,,,
D1 LAB 408,J1,,,,,,,
D1 LAB 408,J2,,,,,,,
D1 LAB 408,J3, J4,,,,,,
D1 LAB 408,L1,,,,,,,
D1 LAB 408,M1,,,,,,,
D1 LAB 408,N2,,,,,,,
D1 LAB 408,O1,,,,,,,
D1 LAB 408,Q2,,,,,,,
D1 LAB 408,Q3,,,,,,,
D1 LAB 408,Q4,,,,,,,
D1 LAB 408,R1,,,,,,,
D1 LAB 408,R2,,,,,,,
D1 LAB 408,Z3, Z4,,,,,,
D1 LAB 409,H3,,,,,,,
D1 LAB 409,J1, J2,,,,,,
D1 LAB 409,J2,,,,,,,
D1 LAB 409,J3, J4,,,,,,
D1 LAB 409,L1,,,,,,,
D1 LAB 409,M1,,,,,,,
D1 LAB 409,M2,,,,,,,
D1 LAB 409,M4,,,,,,,
D1 LAB 409,O1,,,,,,,
D1 LAB 409,O2,,,,,,,
D1 LAB 409,Q1, Q2,,,,,,
D1 LAB 409,T3,,,,,,,
D1 LAB 409,T4,,,,,,,
D1 LAB 409,Z3,Z4,,,,,,
D1 LAB 410,G1,,,,,,,
D1 LAB 410,H4,,,,,,,
D1 LAB 410,I3,,,,,,,
D1 LAB 410,J4,,,,,,,
D1 LAB 410,K3, L2,,,,,,
D1 LAB 410,K4,,,,,,,
D1 LAB 410,M1,,,,,,,
D1 LAB 410,N2, H3,,,,,,
D1 LAB 410,O1,,,,,,,
D1 LAB 410,O2,,,,,,,
D1 LAB 410,Q2,,,,,,,
D1 LAB 410,Q3, Q4,,,,,,
D1 LAB 410,S2,,,,,,,
D1 LAB 410,T2,,,,,,,
D1 LAB 410,Z1,,,,,,,
D1 LAB 410,Z2,,,,,,,
D1 LAB 411,G1,,,,,,,
D1 LAB 411,G2,,,,,,,
D1 LAB 411,H2,,,,,,,
D1 LAB 411,H4,,,,,,,
D1 LAB 411,I2, R1,,,,,,
D1 LAB 411,I3,,,,,,,
D1 LAB 411,J1,,,,,,,
D1 LAB 411,K1, K2,,,,,,
D1 LAB 411,K3, L2,,,,,,
D1 LAB 411,K4,,,,,,,
D1 LAB 411,M3,,,,,,,
D1 LAB 411,M4,,,,,,,
D1 LAB 411,N2, H3,,,,,,
D1 LAB 411,O1,,,,,,,
D1 LAB 411,O2,,,,,,,
D1 LAB 411,Q3,,,,,,,
D1 LAB 411,Q4,,,,,,,
D1 LAB 411,R2,,,,,,,
D1 LAB 411,S1,,,,,,,
D1 LAB 411,S2,,,,,,,
D1 LAB 412,G1,,,,,,,
D1 LAB 412,H1,,,,,,,
D1 LAB 412,H2,,,,,,,
D1 LAB 412,H3,,,,,,,
D1 LAB 412,H4,,,,,,,
D1 LAB 412,J3, J4,,,,,,
D1 LAB 412,K4,,,,,,,
D1 LAB 412,L1,,,,,,,
D1 LAB 412,M1,,,,,,,
D1 LAB 412,M2,,,,,,,
D1 LAB 412,M3,,,,,,,
D1 LAB 412,N2,,,,,,,
D1 LAB 412,O1,,,,,,,
D1 LAB 412,O2,,,,,,,
D1 LAB 412,Q1,,,,,,,
D1 LAB 412,Q2,,,,,,,
D1 LAB 412,Q3,,,,,,,
D1 LAB 412,Q4,,,,,,,
D1 LAB 412,T3,,,,,,,
